"","applicant","rater","rating"
"165",55,9,5.18367152070243
"166",56,4,4.2411251771999
"167",56,7,1
"168",56,8,1
"169",57,3,3.62796697510513
"170",57,7,1
"171",57,10,5.93383538801881
"172",58,3,5.92772733225669
"173",58,5,8.5151929946343
"174",58,10,9.78987038254755
"175",59,6,4.0311507306453
"176",59,7,1
"177",59,10,4.72464054289391
"178",60,3,5.91997210743853
"179",60,4,10
"180",60,9,10
"181",61,1,1.06515223646919
"182",61,6,2.44713225960205
"183",61,8,3.94891492981027
"184",62,1,10
"185",62,2,10
"186",62,8,9.29957250044049
"187",63,4,10
"188",63,5,9.79873289659299
"189",63,9,10
"190",64,1,3.20153050750981
"191",64,6,1
"192",64,9,3.08250220721948
"193",65,1,6.43550681645879
"194",65,2,7.70841158860167
"195",65,4,8.26875183200472
"196",66,1,3.54166186281795
"197",66,5,3.06313805461948
"198",66,7,1
"199",67,3,1
"200",67,4,2.78352056889247
"201",67,7,1
"202",68,2,3.41873167466071
"203",68,4,4.33920817745827
"204",68,7,1
"205",69,1,10
"206",69,2,9.81891413750518
"207",69,8,9.9905250585923
"208",70,4,8.3200495166121
"209",70,6,4.07951508986993
"210",70,10,5.12978222318235
"211",71,1,5.01948420350338
"212",71,2,6.53810649004851
"213",71,3,2.00470323131716
"214",72,3,5.46591407712566
"215",72,5,5.09916842552801
"216",72,10,7.13719980385795
"217",73,4,6.08637779377493
"218",73,5,2.29333091781645
"219",73,10,2.98641881461869
"220",74,2,10
"221",74,7,4.60763108847297
"222",74,10,6.53595715502235
"223",75,2,10
"224",75,3,6.90101442408266
"225",75,8,8.77152797453702
"226",76,1,6.2167465868649
"227",76,3,1.84324777226532
"228",76,5,4.94145480160459
"229",77,3,1.73230478021162
"230",77,5,2.68026446181814
"231",77,7,1.38879156333608
"232",78,1,3.616884924651
"233",78,4,6.82333890812925
"234",78,7,1.98788948722355
"235",79,1,6.94912189604214
"236",79,3,6.13543486481856
"237",79,5,5.15985228301177
"238",80,3,2.0006841547601
"239",80,8,5.17876941001186
"240",80,10,4.73609517225021
"241",81,3,3.62723846436442
"242",81,7,4.58552769324081
"243",81,8,7.292667491707
"244",82,1,3.45894644112387
"245",82,5,3.77660706088076
"246",82,10,1.68301452973557
"247",83,1,6.63504716393999
"248",83,6,4.35990412338063
"249",83,10,4.62907793506644
"250",84,1,1
"251",84,2,1.61138525217405
"252",84,3,1
"253",85,7,1.50199877957347
"254",85,8,6.85354361284569
"255",85,10,6.6192345254426
"256",86,3,4.79262914346816
"257",86,7,6.51358094034584
"258",86,10,9.09620716517473
"259",87,1,1.56684234123205
"260",87,7,1
"261",87,10,2.28704103668863
"262",88,5,7.86176655173097
"263",88,6,7.93892910301212
"264",88,7,5.8646831717735
"265",89,6,6.0451751445812
"266",89,7,3.06419269481787
"267",89,10,7.54153125410923
"268",90,5,7.19148693801921
"269",90,7,5.63108334253937
"270",90,8,9.72284595282149
"271",91,2,4.18785179049823
"272",91,5,1.6547619198019
"273",91,6,3.01027286916242
"274",92,1,4.40736365855291
"275",92,2,3.5346459079892
"276",92,8,3.67595977874185
"277",93,2,5.22269631126017
"278",93,4,5.09644351529009
"279",93,8,4.48561427861671
"280",94,1,3.31229807432134
"281",94,4,3.86499900483
"282",94,6,2.62502592297894
"283",95,2,8.17535456970711
"284",95,4,10
"285",95,8,7.84751164945939
"286",96,2,5.41204055980337
"287",96,6,2.94938369089455
"288",96,8,5.17167530906125
"289",97,2,5.93149693599086
"290",97,6,5.59794022303214
"291",97,8,5.50037490611333
"292",98,2,6.55512550533479
"293",98,6,6.24407062298242
"294",98,8,7.24548213758082
"295",99,2,5.06431850135717
"296",99,6,3.66045483053236
"297",99,8,5.11463034352247
"298",100,3,2.86350812053004
"299",100,6,4.15896213295392
"300",100,9,9.98579192078928
